Freq,S11dB,S11deg,S21dB,S21deg,S12dB,S12deg,S22dB,S22deg,5V Supply Current [A],2V Supply Current [A],-3V3 Supply Current [A],5V Supply Voltage [V],2V Supply Voltage [V],-3V3 Supply Voltage [V],5V Supply Quiescent Current [A],2V Supply Quiescent Current [A],-3V3 Supply Quiescent Current [A],sn,path,temp,group_delay_ns,group_delay_ns_60_mhz,S21dB_60_mhz,group_delay_ns_120_mhz,S21dB_120_mhz,group_delay_ns_250_mhz,S21dB_250_mhz,group_delay_ns_400_mhz,S21dB_400_mhz,group_delay_ns_500_mhz,S21dB_500_mhz,group_delay_ns_1000_mhz,S21dB_1000_mhz,group_delay_ns_2400_mhz,S21dB_2400_mhz
27500000000.0,-9.0562675,20.391,45.30511012975747,-326.98214347826075,-80.8584,-333.1015,-12.113875833333331,31.030500000000004,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.701269989752603,0.0,0.18098998300546043,1.4210854715202004e-14,0.36197996601092086,1.4210854715202004e-14,0.8366623764085332,1.4210854715202004e-14,1.8704320868924995,0.01849753086423722,2.5288372419933864,0.08040308641974958,4.559110540169371,0.2035450617283565,7.445353770029882
27510000000.0,-8.867409285714286,14.7413,45.36544012409263,-333.1067154413701,-80.129,-345.60689999999994,-12.173041190476189,30.921900000000004,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.701269989752603,1.4210854715202004e-14,0.24131997734061628,1.4210854715202004e-14,0.4223099603460696,1.4210854715202004e-14,0.9497318068587433,4.929390229335695e-14,1.9941161600039337,0.023756790123460325,2.644562194113419,0.08040308641974958,4.589493841915882,0.2035450617283565,7.524507965148423
27520000000.0,-8.678551071428572,14.6314,45.42577011842778,-339.2312874044795,-80.046,-371.5263,-12.232206547619047,32.2073,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.701269989752603,1.4210854715202004e-14,0.3016499716757721,1.4210854715202004e-14,0.48096213393790777,1.4210854715202004e-14,1.0783553281888274,0.007639007221966088,2.1285266859811642,0.026333950617263735,2.7725793802479473,0.08040308641974958,4.632432652153831,0.2035450617283565,7.583374849428061
27530000000.0,-8.489692857142858,14.6779,45.486100112762934,-345.35585936758883,-78.3604,-372.7801,-12.291371904761903,33.0537,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.701269989752603,1.4210854715202004e-14,0.301649971675765,1.4210854715202004e-14,0.5531524997925459,1.4210854715202004e-14,1.2080751917343164,0.01715424901190965,2.2670436096975877,0.0319759259259611,2.8828130473875646,0.08040308641974958,4.667355733933967,0.2035450617283565,7.623287874196301
27540000000.0,-8.300834642857144,9.369,45.54643010709809,-351.4804313306982,-79.9027,-393.7713,-12.35053726190476,32.9848,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7012699897525887,1.4210854715202004e-14,0.301649971675765,1.4210854715202004e-14,0.6404335715200631,1.4210854715202004e-14,1.326138357424199,0.01715424901190965,2.3922785487735823,0.03851111111114136,2.982179838238544,0.08975092592588418,4.72050696913837,0.2035450617283565,7.646663883169715
27550000000.0,-8.11197642857143,4.1522,45.606760101433245,-357.6050032938075,-82.0986,-361.7717999999999,-12.409702619047618,32.7969,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7012699897525887,1.4210854715202004e-14,0.29997215093244733,1.4210854715202004e-14,0.7317764242470943,1.4210854715202004e-14,1.460621152313891,0.01849753086423722,2.5288372419933864,0.043623148148153934,3.07291780616481,0.10316327160494954,4.760562977782051,0.2035450617283565,7.646663883169715
27560000000.0,-7.923118214285716,-2.139,45.667090095768394,-363.72957525691686,-79.963,-390.9217,-12.468867976190475,33.6712,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.701269989752603,1.4210854715202004e-14,0.3118325224519296,1.4210854715202004e-14,0.7763323820733774,1.4210854715202004e-14,1.585699238665164,0.023756790123460325,2.644562194113419,0.043623148148153934,3.1535678595432657,0.10935154320986529,4.788642427776388,0.2035450617283565,7.646663883169715
27570000000.0,-7.734260000000002,-2.8231,45.72742009010354,-369.8541472200262,-82.71,-394.3171999999999,-12.528033333333337,34.0752,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.701269989752603,1.4210854715202004e-14,0.33878359984429096,1.4210854715202004e-14,0.8290718181884387,1.4210854715202004e-14,1.7317893304212646,0.026333950617263735,2.7725793802479473,0.048567283950625484,3.2417476668319978,0.10935154320986529,4.820858471441149,0.2035450617283565,7.646663883169715
27580000000.0,-7.552340000000002,-6.6035,45.78607226369538,-375.9787191831356,-85.5716,-432.7883999999999,-12.595260000000001,34.8522,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.701269989752603,7.327471962526033e-15,0.36979645823617346,1.4210854715202004e-14,0.897365345183367,1.4210854715202004e-14,1.8704320868924995,0.0319759259259611,2.8828130473875646,0.05186728395064044,3.338154929258458,0.11464259259258758,4.8326114061405505,0.2035450617283565,7.646663883169715
27590000000.0,-7.459940000000001,-3.2857,45.85826262955002,-382.10329114624494,-79.8939,-431.0973,-12.647120000000001,34.7892,0.0168970674276351,0.3623664081096649,-0.0074202148243784,5.000000476837158,2.0,-3.299999952316284,0.0171767193824052,0.3636562526226043,-0.0074229100719094,RXEM1-000036,1,-20.0,1.7012699897525956,7.327471962526033e-15,0.41435241606246365,1.4210854715202004e-14,0.9667552143937002,4.929390229335695e-14,1.9941161600039337,0.03851111111114136,2.982179838238544,0.06116327160496304,3.419053367099025,0.12441450617282857,4.838075705245302,0.2035450617283565,7.646663883169715
